route_id,route_code,stop_name,stop_id,stop_lat,stop_lon,heading_degrees,transfer_to_route_id,stop_type,parent_stop_id,route
10,1,Michigan & Hubbard (Tribune Bldg.),1122,41.889903,-87.624002,7,120-North^+;120-South^+;121-North^+;121-South^+;143-North^+;143-South^+;157-West^;3-South^;66-East^,bus,1122,10
10,1,Michigan & Huron,1125,41.894823,-87.624082,0,125-South^+;143-North^+;143-South^+;146-North^+;146-South^+;147-North^+;147-South^+;148-North^+;148-South^+;151-North^;151-South^;26-South^+;3-South^,bus,1125,10
10,1,Michigan & Ontario,1124,41.893189,-87.624075,0,125-North^+;2-South^+,bus,1124,10
10,1,Mies Van Der Rohe & Pearson,18224,41.897431,-87.621773,0,157-East^;157-West^,bus,18224,10
10,1,Museum Of Science & Industry,10565,41.791748,-87.583687,120,55-East^;55-West^,bus,10565,10
10,1,State & Adams,1115,41.879373,-87.627637,359,1-North^;126-West^;130-West^;151-South^;28-North^;7-West^;Blue*;Brown*;Green*;Orange*;Pink*;Purple*;Red*,bus,1115,10
10,1,State & E. Wacker,1439,41.886648,-87.627869,359,134-North^+;135-North^+;136-North^+;29-North^,bus,1439,10
10,1,State & Harrison/Ida B Wells Drive,15052,41.874888,-87.627527,0,130-East^;146-South^+;148-North^+;148-South^+;29-South^;62-South^;Red*,bus,15052,10
10,1,State & Lake,1438,41.885609,-87.627846,26,29-South^;36-South^;6-South^+;62-South^;Brown*;Green*;Orange*;Pink*;Purple*,bus,1438,10
10,1,State & Madison,1117,41.881917,-87.627702,355,Blue*;Red*,bus,1117,10
10,1,State & Randolph,1437,41.884364,-87.627812,357,Blue*;Red*,bus,1437,10
10,1,State & Van Buren,1113,41.876834,-87.627577,359,147-North^+;36-South^;Brown*;Orange*;Pink*;Purple*,bus,1113,10
10,2,1100 S Columbus (Pedestrian Underpass),4872,41.869331,-87.620652,179,2-North^+;2-South^+;26-North^+;26-South^+;28-North^;28-South^;6-North^+;6-South^+;J14-North^;J14-South^,bus,4872,10
10,2,Balbo & Columbus,4871,41.87314,-87.620901,88,,bus,4871,10
10,2,Balbo & Michigan,4870,41.873092,-87.623664,90,1-North^;147-South^+;28-North^;3-North^;4-North^;6-North^+;J14-North^;J14-South^;X4-North^+,bus,4870,10
10,2,Balbo & State,14645,41.873023,-87.627355,90,130-West^;146-North^+;29-North^,bus,14645,10
10,2,Chestnut & Mies Van Der Rohe,5019,41.898478,-87.622328,270,125-North^+;125-South^+,bus,5019,10
10,2,Michigan & Erie,1100,41.894418,-87.624303,178,125-South^+;26-North^+;3-North^,bus,1100,10
10,2,Michigan & Hubbard (Wrigley Bldg.),1103,41.889919,-87.624258,189,143-North^+;143-South^+;151-North^;151-South^;157-East^;157-West^;3-South^;66-East^;66-West^,bus,1103,10
10,2,Michigan & Illinois,1102,41.891235,-87.624309,180,120-North^+;120-South^+;121-North^+;121-South^+;157-East^;2-North^+;29-North^;65-East^,bus,1102,10
10,2,Michigan & Ohio,1101,41.892697,-87.62435,180,125-North^+;157-West^;2-South^+,bus,1101,10
10,2,Michigan & Pearson,1098,41.897772,-87.624237,180,143-North^+;143-South^+;146-North^+;146-South^+;147-North^+;147-South^+;148-North^+;148-South^+;151-North^;151-South^,bus,1098,10
10,2,Michigan & Superior,14488,41.895914,-87.624406,176,26-South^+;3-South^,bus,14488,10
10,2,Museum Of Science & Industry,10565,41.791748,-87.583687,120,55-East^;55-West^,bus,10565,10
10,2,State & Harrison/Ida B Wells Drive,1431,41.874807,-87.627682,180,130-East^;146-South^+;148-North^+;148-South^+;29-South^;62-South^;Red*,bus,1431,10
10,2,State & Jackson,1429,41.878394,-87.627757,179,1-South^;126-East^;28-South^;7-East^;Blue*;Green*;Red*,bus,1429,10
